audit_timestamp,rollback_snapshot_id,production_dbf_flag,example_category,before_status,after_status,why_issue_occurred,why_included_or_excluded,remediation_path,governance_reasoning,business_review_required,replay_eligibility,reconstructed_claim_id,derivation_candidate_id,rulebook_lineage
2026-06-26T14:22:50Z,PHASE17-GOVERNANCE-REPORTING-EXAMPLES-20260626T142250Z,N,REPLAY_SUCCESS_EXAMPLE,Previously lifecycle-blocked / unbalanced,Lifecycle replay overlay applied in Phase 15,Lifecycle replay overlay recovered claim without forced balancing,Recovered by replay but deferred from UAT pending additional governance,Continue governed replay if additional claims qualify,REPLAY_RECOVERED,Y,,RC-9010150740-1-DEATH_CLAIM-C0-20230509,QDC-RC-9010150740-1-DEATH_CLAIM-C0-20230509,phase17a|phase17b|phase17c|phase17d|phase17e|phase17f
2026-06-26T14:22:50Z,PHASE17-GOVERNANCE-REPORTING-EXAMPLES-20260626T142250Z,N,REPLAY_SUCCESS_EXAMPLE,Previously lifecycle-blocked / unbalanced,Lifecycle replay overlay applied in Phase 15,Lifecycle replay overlay recovered claim without forced balancing,Recovered by replay but deferred from UAT pending additional governance,Continue governed replay if additional claims qualify,REPLAY_RECOVERED,Y,,RC-9010331157-1-DEATH_CLAIM-C0-20190315,QDC-RC-9010331157-1-DEATH_CLAIM-C0-20190315,phase17a|phase17b|phase17c|phase17d|phase17e|phase17f
2026-06-26T14:22:50Z,PHASE17-GOVERNANCE-REPORTING-EXAMPLES-20260626T142250Z,N,REPLAY_SUCCESS_EXAMPLE,Previously lifecycle-blocked / unbalanced,Lifecycle replay overlay applied in Phase 15,Lifecycle replay overlay recovered claim without forced balancing,Recovered by replay but deferred from UAT pending additional governance,Continue governed replay if additional claims qualify,REPLAY_RECOVERED,Y,,RC-9010335038-1-DEATH_CLAIM-C0-20180422,QDC-RC-9010335038-1-DEATH_CLAIM-C0-20180422,phase17a|phase17b|phase17c|phase17d|phase17e|phase17f
2026-06-26T14:22:50Z,PHASE17-GOVERNANCE-REPORTING-EXAMPLES-20260626T142250Z,N,REPLAY_SUCCESS_EXAMPLE,Previously lifecycle-blocked / unbalanced,Lifecycle replay overlay applied in Phase 15,Lifecycle replay overlay recovered claim without forced balancing,Recovered by replay but deferred from UAT pending additional governance,Continue governed replay if additional claims qualify,REPLAY_RECOVERED,Y,,RC-9010367438-1-DEATH_CLAIM-C0-20211110,QDC-RC-9010367438-1-DEATH_CLAIM-C0-20211110,phase17a|phase17b|phase17c|phase17d|phase17e|phase17f
2026-06-26T14:22:50Z,PHASE17-GOVERNANCE-REPORTING-EXAMPLES-20260626T142250Z,N,REPLAY_SUCCESS_EXAMPLE,Previously lifecycle-blocked / unbalanced,Lifecycle replay overlay applied in Phase 15,Lifecycle replay overlay recovered claim without forced balancing,Recovered by replay but deferred from UAT pending additional governance,Continue governed replay if additional claims qualify,REPLAY_RECOVERED,Y,,RC-9010391359-1-DEATH_CLAIM-C0-20211119,QDC-RC-9010391359-1-DEATH_CLAIM-C0-20211119,phase17a|phase17b|phase17c|phase17d|phase17e|phase17f
2026-06-26T14:22:50Z,PHASE17-GOVERNANCE-REPORTING-EXAMPLES-20260626T142250Z,N,REPLAY_SUCCESS_EXAMPLE,Previously lifecycle-blocked / unbalanced,Lifecycle replay overlay applied in Phase 15,Lifecycle replay overlay recovered claim without forced balancing,Recovered by replay but deferred from UAT pending additional governance,Continue governed replay if additional claims qualify,REPLAY_RECOVERED,Y,,RC-9010395382-1-DEATH_CLAIM-C0-20240528,QDC-RC-9010395382-1-DEATH_CLAIM-C0-20240528,phase17a|phase17b|phase17c|phase17d|phase17e|phase17f
2026-06-26T14:22:50Z,PHASE17-GOVERNANCE-REPORTING-EXAMPLES-20260626T142250Z,N,REPLAY_SUCCESS_EXAMPLE,Previously lifecycle-blocked / unbalanced,Lifecycle replay overlay applied in Phase 15,Lifecycle replay overlay recovered claim without forced balancing,Recovered by replay but deferred from UAT pending additional governance,Continue governed replay if additional claims qualify,REPLAY_RECOVERED,Y,,RC-9010395879-1-DEATH_CLAIM-C0-20230114,QDC-RC-9010395879-1-DEATH_CLAIM-C0-20230114,phase17a|phase17b|phase17c|phase17d|phase17e|phase17f
2026-06-26T14:22:50Z,PHASE17-GOVERNANCE-REPORTING-EXAMPLES-20260626T142250Z,N,REPLAY_SUCCESS_EXAMPLE,Previously lifecycle-blocked / unbalanced,Lifecycle replay overlay applied in Phase 15,Lifecycle replay overlay recovered claim without forced balancing,Recovered by replay but deferred from UAT pending additional governance,Continue governed replay if additional claims qualify,REPLAY_RECOVERED,Y,,RC-9010404857-1-DEATH_CLAIM-C0-20180118,QDC-RC-9010404857-1-DEATH_CLAIM-C0-20180118,phase17a|phase17b|phase17c|phase17d|phase17e|phase17f
2026-06-26T14:22:50Z,PHASE17-GOVERNANCE-REPORTING-EXAMPLES-20260626T142250Z,N,REPLAY_SUCCESS_EXAMPLE,Previously lifecycle-blocked / unbalanced,Lifecycle replay overlay applied in Phase 15,Lifecycle replay overlay recovered claim without forced balancing,Recovered by replay but deferred from UAT pending additional governance,Continue governed replay if additional claims qualify,REPLAY_RECOVERED,Y,,RC-9010411727-1-DEATH_CLAIM-C0-20190315,QDC-RC-9010411727-1-DEATH_CLAIM-C0-20190315,phase17a|phase17b|phase17c|phase17d|phase17e|phase17f
2026-06-26T14:22:50Z,PHASE17-GOVERNANCE-REPORTING-EXAMPLES-20260626T142250Z,N,REPLAY_SUCCESS_EXAMPLE,Previously lifecycle-blocked / unbalanced,Lifecycle replay overlay applied in Phase 15,Lifecycle replay overlay recovered claim without forced balancing,Recovered by replay but deferred from UAT pending additional governance,Continue governed replay if additional claims qualify,REPLAY_RECOVERED,Y,,RC-9010417200-1-DEATH_CLAIM-C0-20200521,QDC-RC-9010417200-1-DEATH_CLAIM-C0-20200521,phase17a|phase17b|phase17c|phase17d|phase17e|phase17f
